Entry	Entry name	Protein names	Gene names	Gene ontology (GO)	Gene ontology (molecular function)
Q9HAZ1	CLK4_HUMAN	Dual specificity protein kinase CLK4 (EC 2.7.12.1) (CDC-like kinase 4)	CLK4	nucleus [GO:0005634]; ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein tyrosine kinase activity [GO:0004713]; protein autophosphorylation [GO:0046777]; regulation of RNA splicing [GO:0043484]	ATP binding [GO:0005524]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]
O00418	EF2K_HUMAN	Eukaryotic elongation factor 2 kinase (eEF-2 kinase) (eEF-2K) (EC 2.7.11.20) (Calcium/calmodulin-dependent eukaryotic elongation factor 2 kinase)	EEF2K	cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; postsynaptic density [GO:0014069]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; elongation factor-2 kinase activity [GO:0004686]; protein kinase activity [GO:0004672]; translation factor activity, RNA binding [GO:0008135]; cellular response to anoxia [GO:0071454]; cellular response to brain-derived neurotrophic factor stimulus [GO:1990416]; cellular response to calcium ion [GO:0071277]; cellular response to cAMP [GO:0071320]; cellular response to insulin stimulus [GO:0032869]; negative regulation of apoptotic process [GO:0043066]; positive regulation of dendritic spine morphogenesis [GO:0061003]; positive regulation of endocytosis [GO:0045807]; positive regulation of synapse assembly [GO:0051965]; protein autophosphorylation [GO:0046777]; regulation of protein autophosphorylation [GO:0031952]; response to ischemia [GO:0002931]; response to prolactin [GO:1990637]; translational elongation [GO:0006414]	ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; elongation factor-2 kinase activity [GO:0004686]; protein kinase activity [GO:0004672]; translation factor activity, RNA binding [GO:0008135]
Q8IWQ3	BRSK2_HUMAN	Serine/threonine-protein kinase BRSK2 (EC 2.7.11.1) (Brain-selective kinase 2) (EC 2.7.11.26) (Brain-specific serine/threonine-protein kinase 2) (BR serine/threonine-protein kinase 2) (Serine/threonine-protein kinase 29) (Serine/threonine-protein kinase SAD-A)	BRSK2 C11orf7 PEN11B SADA STK29 HUSSY-12	centrosome [GO:0005813]; cytoplasm [GO:0005737]; distal axon [GO:0150034]; endoplasmic reticulum [GO:0005783]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; ATP binding [GO:0005524]; ATPase binding [GO:0051117]; ATPase regulator activity [GO:0060590]; magnesium ion binding [GO:0000287]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activity [GO:0004674]; tau protein binding [GO:0048156]; tau-protein kinase activity [GO:0050321]; actin cytoskeleton reorganization [GO:0031532]; axonogenesis [GO:0007409]; cell division [GO:0051301]; ERAD pathway [GO:0036503]; establishment of cell polarity [GO:0030010]; exocytosis [GO:0006887]; G2/M transition of mitotic cell cycle [GO:0000086]; intracellular signal transduction [GO:0035556]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; microtubule cytoskeleton organization involved in establishment of planar polarity [GO:0090176]; neuron differentiation [GO:0030182]; peptidyl-serine phosphorylation [GO:0018105]; protein phosphorylation [GO:0006468]; regulation of ATPase activity [GO:0043462]; regulation of axonogenesis [GO:0050770]; regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0061178]; regulation of neuron projection development [GO:0010975]; regulation of retrograde protein transport, ER to cytosol [GO:1904152]; regulation of synaptic vesicle clustering [GO:2000807]	ATPase binding [GO:0051117]; ATPase regulator activity [GO:0060590]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activity [GO:0004674]; tau protein binding [GO:0048156]; tau-protein kinase activity [GO:0050321]
P67870	CSK2B_HUMAN	Casein kinase II subunit beta (CK II beta) (Phosvitin) (Protein G5a)	CSNK2B CK2N G5A	chromatin [GO:0000785]; cilium [GO:0005929]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein kinase CK2 complex [GO:0005956]; secretory granule lumen [GO:0034774]; chromatin binding [GO:0003682]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; protein domain specific binding [GO:0019904]; protein kinase regulator activity [GO:0019887]; protein serine/threonine kinase activity [GO:0004674]; ribonucleoprotein complex binding [GO:0043021]; signaling receptor binding [GO:0005102]; transcription factor binding [GO:0008134]; adiponectin-activated signaling pathway [GO:0033211]; cellular protein-containing complex assembly [GO:0034622]; endothelial tube morphogenesis [GO:0061154]; liver regeneration [GO:0097421]; macroautophagy [GO:0016236]; negative regulation of blood vessel endothelial cell migration [GO:0043537]; negative regulation of cell population proliferation [GO:0008285]; neutrophil degranulation [GO:0043312]; peptidyl-threonine phosphorylation [GO:0018107]; phosphatidylcholine biosynthetic process [GO:0006656]; positive regulation of activin receptor signaling pathway [GO:0032927]; positive regulation of pathway-restricted SMAD protein phosphorylation [GO:0010862]; protein folding [GO:0006457]; regulation of DNA binding [GO:0051101]; regulation of signal transduction by p53 class mediator [GO:1901796]; response to testosterone [GO:0033574]; signal transduction [GO:0007165]; Wnt signaling pathway [GO:0016055]	chromatin binding [GO:0003682]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; protein domain specific binding [GO:0019904]; protein kinase regulator activity [GO:0019887]; protein serine/threonine kinase activity [GO:0004674]; ribonucleoprotein complex binding [GO:0043021]; signaling receptor binding [GO:0005102]; transcription factor binding [GO:0008134]
Q9Y243	AKT3_HUMAN	RAC-gamma serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-3) (Protein kinase B gamma) (PKB gamma) (RAC-PK-gamma) (STK-2)	AKT3 PKBG	cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleus [GO:0005634]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; intracellular signal transduction [GO:0035556]; mitochondrial genome maintenance [GO:0000002]; negative regulation of cellular senescence [GO:2000773]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of cell migration involved in sprouting angiogenesis [GO:0090050]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of vascular endothelial cell proliferation [GO:1905564]; protein phosphorylation [GO:0006468]; signal transduction [GO:0007165]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]
P13500	CCL2_HUMAN	C-C motif chemokine 2 (HC11) (Monocyte chemoattractant protein 1) (Monocyte chemotactic and activating factor) (MCAF) (Monocyte chemotactic protein 1) (MCP-1) (Monocyte secretory protein JE) (Small-inducible cytokine A2)	CCL2 MCP1 SCYA2	cell [GO:0005623]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; CCR chemokine receptor binding [GO:0048020]; CCR2 chemokine receptor binding [GO:0031727]; chemokine activity [GO:0008009]; protein kinase activity [GO:0004672]; signaling receptor binding [GO:0005102]; angiogenesis [GO:0001525]; animal organ morphogenesis [GO:0009887]; astrocyte cell migration [GO:0043615]; cell adhesion [GO:0007155]; cell surface receptor signaling pathway [GO:0007166]; cellular homeostasis [GO:0019725]; cellular response to fibroblast growth factor stimulus [GO:0044344]; cellular response to interferon-gamma [GO:0071346]; cellular response to interleukin-1 [GO:0071347]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to organic cyclic compound [GO:0071407]; cellular response to tumor necrosis factor [GO:0071356]; chemokine-mediated signaling pathway [GO:0070098]; chemotaxis [GO:0006935]; cytokine-mediated signaling pathway [GO:0019221]; cytoskeleton organization [GO:0007010]; eosinophil chemotaxis [GO:0048245]; G protein-coupled receptor signaling pathway [GO:0007186]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; helper T cell extravasation [GO:0035684]; humoral immune response [GO:0006959]; inflammatory response [GO:0006954]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; lymphocyte chemotaxis [GO:0048247]; macrophage chemotaxis [GO:0048246]; MAPK cascade [GO:0000165]; monocyte chemotaxis [GO:0002548]; negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]; negative regulation of glial cell apoptotic process [GO:0034351]; negative regulation of natural killer cell chemotaxis [GO:2000502]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of vascular endothelial cell proliferation [GO:1905563]; neutrophil chemotaxis [GO:0030593]; PERK-mediated unfolded protein response [GO:0036499]; positive regulation of apoptotic cell clearance [GO:2000427]; positive regulation of calcium ion import [GO:0090280]; positive regulation of endothelial cell apoptotic process [GO:2000353]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of GTPase activity [GO:0043547]; positive regulation of nitric-oxide synthase biosynthetic process [GO:0051770]; positive regulation of NMDA glutamate receptor activity [GO:1904783]; positive regulation of synaptic transmission, glutamatergic [GO:0051968]; positive regulation of T cell activation [GO:0050870]; protein kinase B signaling [GO:0043491]; protein phosphorylation [GO:0006468]; receptor signaling pathway via JAK-STAT [GO:0007259]; regulation of cell shape [GO:0008360]; response to bacterium [GO:0009617]; sensory perception of pain [GO:0019233]; signal transduction [GO:0007165]; viral genome replication [GO:0019079]	CCR2 chemokine receptor binding [GO:0031727]; CCR chemokine receptor binding [GO:0048020]; chemokine activity [GO:0008009]; protein kinase activity [GO:0004672]; signaling receptor binding [GO:0005102]
O75460	ERN1_HUMAN	Serine/threonine-protein kinase/endoribonuclease IRE1 (Endoplasmic reticulum-to-nucleus signaling 1) (Inositol-requiring protein 1) (hIRE1p) (Ire1-alpha) (IRE1a) [Includes: Serine/threonine-protein kinase (EC 2.7.11.1); Endoribonuclease (EC 3.1.26.-)]	ERN1 IRE1	AIP1-IRE1 complex [GO:1990597]; cell [GO:0005623]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of endoplasmic reticulum membrane [GO:0030176]; Ire1 complex [GO:1990332]; IRE1-RACK1-PP2A complex [GO:1990630]; IRE1-TRAF2-ASK1 complex [GO:1990604]; mitochondrion [GO:0005739]; nuclear inner membrane [GO:0005637]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; endoribonuclease activity [GO:0004521]; enzyme binding [GO:0019899]; Hsp70 protein binding [GO:0030544]; Hsp90 protein binding [GO:0051879]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; platelet-derived growth factor receptor binding [GO:0005161]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; unfolded protein binding [GO:0051082]; activation of JUN kinase activity [GO:0007257]; cell cycle arrest [GO:0007050]; cellular response to glucose stimulus [GO:0071333]; cellular response to unfolded protein [GO:0034620]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; endoplasmic reticulum unfolded protein response [GO:0030968]; endothelial cell proliferation [GO:0001935]; insulin metabolic process [GO:1901142]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; IRE1-mediated unfolded protein response [GO:0036498]; mRNA catabolic process [GO:0006402]; mRNA cleavage [GO:0006379]; mRNA cleavage involved in mRNA processing [GO:0098787]; mRNA splicing, via endonucleolytic cleavage and ligation [GO:0070054]; peptidyl-serine autophosphorylation [GO:0036289]; peptidyl-serine trans-autophosphorylation [GO:1990579]; positive regulation of endoplasmic reticulum unfolded protein response [GO:1900103]; positive regulation of RNA splicing [GO:0033120]; positive regulation of vascular smooth muscle cell proliferation [GO:1904707]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of macroautophagy [GO:0016241]; response to endoplasmic reticulum stress [GO:0034976]	ADP binding [GO:0043531]; ATP binding [GO:0005524]; endoribonuclease activity [GO:0004521]; enzyme binding [GO:0019899]; Hsp70 protein binding [GO:0030544]; Hsp90 protein binding [GO:0051879]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; platelet-derived growth factor receptor binding [GO:0005161]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; unfolded protein binding [GO:0051082]
O14965	AURKA_HUMAN	Aurora kinase A (EC 2.7.11.1) (Aurora 2) (Aurora/IPL1-related kinase 1) (ARK-1) (Aurora-related kinase 1) (hARK1) (Breast tumor-amplified kinase) (Serine/threonine-protein kinase 15) (Serine/threonine-protein kinase 6) (Serine/threonine-protein kinase aurora-A)	AURKA AIK AIRK1 ARK1 AURA AYK1 BTAK IAK1 STK15 STK6	axon hillock [GO:0043203]; centriole [GO:0005814]; centrosome [GO:0005813]; chromosome passenger complex [GO:0032133]; cilium [GO:0005929]; condensed nuclear chromosome, centromeric region [GO:0000780]; cytosol [GO:0005829]; germinal vesicle [GO:0042585]; meiotic spindle [GO:0072687]; microtubule cytoskeleton [GO:0015630]; midbody [GO:0030496]; mitotic spindle pole [GO:0097431]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; pronucleus [GO:0045120]; spindle [GO:0005819]; spindle microtubule [GO:0005876]; spindle midzone [GO:0051233]; spindle pole centrosome [GO:0031616]; ATP binding [GO:0005524]; histone serine kinase activity [GO:0035174]; protein heterodimerization activity [GO:0046982]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; ubiquitin protein ligase binding [GO:0031625]; anaphase-promoting complex-dependent catabolic process [GO:0031145]; anterior/posterior axis specification [GO:0009948]; cell division [GO:0051301]; centrosome localization [GO:0051642]; DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest [GO:0006977]; G2/M transition of mitotic cell cycle [GO:0000086]; liver regeneration [GO:0097421]; mitotic cell cycle [GO:0000278]; mitotic centrosome separation [GO:0007100]; mitotic spindle organization [GO:0007052]; negative regulation of apoptotic process [GO:0043066]; negative regulation of G2/M transition of mitotic cell cycle [GO:0010972]; negative regulation of gene expression [GO:0010629]; negative regulation of protein binding [GO:0032091]; neuron projection extension [GO:1990138]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of mitotic nuclear division [GO:0045840]; positive regulation of oocyte maturation [GO:1900195]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; protein autophosphorylation [GO:0046777]; protein localization to centrosome [GO:0071539]; protein phosphorylation [GO:0006468]; regulation of centrosome cycle [GO:0046605]; regulation of cytokinesis [GO:0032465]; regulation of G2/M transition of mitotic cell cycle [GO:0010389]; regulation of protein stability [GO:0031647]; regulation of signal transduction by p53 class mediator [GO:1901796]; response to wounding [GO:0009611]; spindle assembly involved in female meiosis I [GO:0007057]; spindle organization [GO:0007051]; ubiquitin-dependent protein catabolic process [GO:0006511]	ATP binding [GO:0005524]; histone serine kinase activity [GO:0035174]; protein heterodimerization activity [GO:0046982]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine/threonine kinase activity [GO:0004674]; ubiquitin protein ligase binding [GO:0031625]
P43250	GRK6_HUMAN	G protein-coupled receptor kinase 6 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK6)	GRK6 GPRK6	membrane [GO:0016020]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; beta-adrenergic receptor kinase activity [GO:0047696]; G protein-coupled receptor kinase activity [GO:0004703]; G protein-coupled receptor signaling pathway [GO:0007186]; regulation of G protein-coupled receptor signaling pathway [GO:0008277]; Wnt signaling pathway [GO:0016055]	ATP binding [GO:0005524]; beta-adrenergic receptor kinase activity [GO:0047696]; G protein-coupled receptor kinase activity [GO:0004703]
P34947	GRK5_HUMAN	G protein-coupled receptor kinase 5 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK5)	GRK5 GPRK5	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear membrane [GO:0031965]; nuclear speck [GO:0016607]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; beta-adrenergic receptor kinase activity [GO:0047696]; G protein-coupled receptor kinase activity [GO:0004703]; phospholipid binding [GO:0005543]; protein kinase C binding [GO:0005080]; protein serine/threonine kinase activity [GO:0004674]; adenylate cyclase-modulating G protein-coupled receptor signaling pathway [GO:0007188]; apoptotic process [GO:0006915]; fat cell differentiation [GO:0045444]; G protein-coupled receptor signaling pathway [GO:0007186]; negative regulation of apoptotic process [GO:0043066]; positive regulation of cell population proliferation [GO:0008284]; protein autophosphorylation [GO:0046777]; regulation of cell cycle [GO:0051726]; regulation of G protein-coupled receptor signaling pathway [GO:0008277]; tachykinin receptor signaling pathway [GO:0007217]; Wnt signaling pathway [GO:0016055]	ATP binding [GO:0005524]; beta-adrenergic receptor kinase activity [GO:0047696]; G protein-coupled receptor kinase activity [GO:0004703]; phospholipid binding [GO:0005543]; protein kinase C binding [GO:0005080]; protein serine/threonine kinase activity [GO:0004674]
P54764	EPHA4_HUMAN	Ephrin type-A receptor 4 (EC 2.7.10.1) (EPH-like kinase 8) (EK8) (hEK8) (Tyrosine-protein kinase TYRO1) (Tyrosine-protein kinase receptor SEK)	EPHA4 HEK8 SEK TYRO1	adherens junction [GO:0005912]; axon [GO:0030424]; axon terminus [GO:0043679]; axonal growth cone [GO:0044295]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; dendritic shaft [GO:0043198]; dendritic spine [GO:0043197]; early endosome membrane [GO:0031901]; endoplasmic reticulum [GO:0005783]; filopodium [GO:0030175]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; integral component of plasma membrane [GO:0005887]; integral component of postsynaptic membrane [GO:0099055]; integral component of presynaptic membrane [GO:0099056]; mitochondrial outer membrane [GO:0005741]; neuromuscular junction [GO:0031594]; neuron projection [GO:0043005]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; postsynaptic density membrane [GO:0098839]; receptor complex [GO:0043235]; Schaffer collateral - CA1 synapse [GO:0098685]; amyloid-beta binding [GO:0001540]; ATP binding [GO:0005524]; DH domain binding [GO:0097161]; ephrin receptor binding [GO:0046875]; GPI-linked ephrin receptor activity [GO:0005004]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; PH domain binding [GO:0042731]; protein kinase activity [GO:0004672]; protein tyrosine kinase binding [GO:1990782]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; transmembrane-ephrin receptor activity [GO:0005005]; adult walking behavior [GO:0007628]; axon guidance [GO:0007411]; cell adhesion [GO:0007155]; cellular response to amyloid-beta [GO:1904646]; cochlea development [GO:0090102]; corticospinal tract morphogenesis [GO:0021957]; ephrin receptor signaling pathway [GO:0048013]; fasciculation of motor neuron axon [GO:0097156]; fasciculation of sensory neuron axon [GO:0097155]; glial cell migration [GO:0008347]; motor neuron axon guidance [GO:0008045]; negative regulation of axon regeneration [GO:0048681]; negative regulation of long-term synaptic potentiation [GO:1900272]; negative regulation of neuron projection development [GO:0010977]; negative regulation of proteolysis involved in cellular protein catabolic process [GO:1903051]; nephric duct morphogenesis [GO:0072178]; neuron projection fasciculation [GO:0106030]; neuron projection guidance [GO:0097485]; peptidyl-tyrosine phosphorylation [GO:0018108]; positive regulation of amyloid-beta formation [GO:1902004]; positive regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process [GO:1902961]; positive regulation of dendrite morphogenesis [GO:0050775]; positive regulation of JUN kinase activity [GO:0043507]; positive regulation of protein tyrosine kinase activity [GO:0061098]; positive regulation of Rho guanyl-nucleotide exchange factor activity [GO:2001108]; protein autophosphorylation [GO:0046777]; protein stabilization [GO:0050821]; regulation of astrocyte differentiation [GO:0048710]; regulation of axonogenesis [GO:0050770]; regulation of dendritic spine morphogenesis [GO:0061001]; regulation of GTPase activity [GO:0043087]; regulation of modification of synaptic structure [GO:1905244]; synapse pruning [GO:0098883]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]	amyloid-beta binding [GO:0001540]; ATP binding [GO:0005524]; DH domain binding [GO:0097161]; ephrin receptor binding [GO:0046875]; GPI-linked ephrin receptor activity [GO:0005004]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; PH domain binding [GO:0042731]; protein kinase activity [GO:0004672]; protein tyrosine kinase binding [GO:1990782]; transmembrane-ephrin receptor activity [GO:0005005]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]
Q5JZY3	EPHAA_HUMAN	Ephrin type-A receptor 10 (EC 2.7.10.1)	EPHA10	extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; transmembrane-ephrin receptor activity [GO:0005005]; axon guidance [GO:0007411]; ephrin receptor signaling pathway [GO:0048013]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]	ATP binding [GO:0005524]; transmembrane-ephrin receptor activity [GO:0005005]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]
Q09013	DMPK_HUMAN	Myotonin-protein kinase (MT-PK) (EC 2.7.11.1) (DM-kinase) (DMK) (DM1 protein kinase) (DMPK) (Myotonic dystrophy protein kinase)	DMPK DM1PK MDPK	cell [GO:0005623]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; integral component of mitochondrial outer membrane [GO:0031307]; nuclear membrane [GO:0031965]; nuclear outer membrane [GO:0005640]; plasma membrane [GO:0005886]; sarcoplasmic reticulum membrane [GO:0033017]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; myosin phosphatase regulator activity [GO:0017020]; protein serine/threonine kinase activity [GO:0004674]; cellular calcium ion homeostasis [GO:0006874]; intracellular signal transduction [GO:0035556]; muscle cell apoptotic process [GO:0010657]; nuclear envelope organization [GO:0006998]; peptidyl-serine phosphorylation [GO:0018105]; protein phosphorylation [GO:0006468]; regulation of cardiac conduction [GO:1903779]; regulation of excitatory postsynaptic membrane potential involved in skeletal muscle contraction [GO:0014853]; regulation of heart contraction [GO:0008016]; regulation of myotube differentiation [GO:0010830]; regulation of skeletal muscle contraction by calcium ion signaling [GO:0014722]; regulation of sodium ion transport [GO:0002028]; regulation of synapse structural plasticity [GO:0051823]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; myosin phosphatase regulator activity [GO:0017020]; protein serine/threonine kinase activity [GO:0004674]
P10398	ARAF_HUMAN	Serine/threonine-protein kinase A-Raf (EC 2.7.11.1) (Proto-oncogene A-Raf) (Proto-oncogene A-Raf-1) (Proto-oncogene Pks)	ARAF ARAF1 PKS PKS2	cytosol [GO:0005829]; mitochondrion [GO:0005739]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; cellular protein modification process [GO:0006464]; MAPK cascade [GO:0000165]; negative regulation of apoptotic process [GO:0043066]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032434]; regulation of TOR signaling [GO:0032006]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]
P51451	BLK_HUMAN	Tyrosine-protein kinase Blk (EC 2.7.10.2) (B lymphocyte kinase) (p55-Blk)	BLK	cytosol [GO:0005829]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein tyrosine kinase activity [GO:0004713]; signaling receptor binding [GO:0005102]; B cell receptor signaling pathway [GO:0050853]; cell differentiation [GO:0030154]; intracellular signal transduction [GO:0035556]; peptidyl-tyrosine autophosphorylation [GO:0038083]; peptidyl-tyrosine phosphorylation [GO:0018108]; positive regulation of insulin secretion [GO:0032024]; regulation of B cell receptor signaling pathway [GO:0050855]; regulation of cell population proliferation [GO:0042127]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]	ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein tyrosine kinase activity [GO:0004713]; signaling receptor binding [GO:0005102]
Q8IVS8	GLCTK_HUMAN	Glycerate kinase (EC 2.7.1.31) (HBeAg-binding protein 4)	GLYCTK HBEBP4 LP5910	cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; mitochondrion [GO:0005739]; ATP binding [GO:0005524]; glycerate kinase activity [GO:0008887]; fructose catabolic process to hydroxyacetone phosphate and glyceraldehyde-3-phosphate [GO:0061624]; protein phosphorylation [GO:0006468]	ATP binding [GO:0005524]; glycerate kinase activity [GO:0008887]
P54756	EPHA5_HUMAN	Ephrin type-A receptor 5 (EC 2.7.10.1) (Brain-specific kinase) (EPH homology kinase 1) (EHK-1) (EPH-like kinase 7) (EK7) (hEK7)	EPHA5 BSK EHK1 HEK7 TYRO4	axon [GO:0030424]; dendrite [GO:0030425]; external side of plasma membrane [GO:0009897]; integral component of plasma membrane [GO:0005887]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; rough endoplasmic reticulum [GO:0005791]; ATP binding [GO:0005524]; ephrin receptor activity [GO:0005003]; GPI-linked ephrin receptor activity [GO:0005004]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; transmembrane-ephrin receptor activity [GO:0005005]; axon guidance [GO:0007411]; cAMP-mediated signaling [GO:0019933]; ephrin receptor signaling pathway [GO:0048013]; hippocampus development [GO:0021766]; neuron development [GO:0048666]; positive regulation of CREB transcription factor activity [GO:0032793]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of GTPase activity [GO:0043087]; regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0061178]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]	ATP binding [GO:0005524]; ephrin receptor activity [GO:0005003]; GPI-linked ephrin receptor activity [GO:0005004]; transmembrane-ephrin receptor activity [GO:0005005]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]
Q9UF33	EPHA6_HUMAN	Ephrin type-A receptor 6 (EC 2.7.10.1) (EPH homology kinase 2) (EHK-2) (EPH-like kinase 12) (EK12)	EPHA6 EHK2 HEK12	integral component of plasma membrane [GO:0005887]; neuron projection [GO:0043005]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; transmembrane-ephrin receptor activity [GO:0005005]; axon guidance [GO:0007411]; ephrin receptor signaling pathway [GO:0048013]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]	ATP binding [GO:0005524]; transmembrane-ephrin receptor activity [GO:0005005]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]
